Date,Open,High,Low,Close,Adj Close,Volume
31-Dec-21,"1,649.98","1,655.44","1,643.85","1,643.92","1,643.92","122,100,900"
30-Dec-21,"1,648.34","1,656.89","1,648.34","1,650.43","1,650.43","120,142,200"
29-Dec-21,"1,638.48","1,651.11","1,636.35","1,647.76","1,647.76","128,476,800"
28-Dec-21,"1,642.72","1,647.22","1,634.49","1,637.97","1,637.97","131,304,400"
27-Dec-21,"1,625.88","1,642.79","1,625.88","1,642.59","1,642.59","134,065,500"
23-Dec-21,"1,619.65","1,630.84","1,618.63","1,625.57","1,625.57","156,471,400"
22-Dec-21,"1,599.76","1,620.04","1,597.16","1,618.99","1,618.99","206,269,700"
21-Dec-21,"1,594.54","1,601.11","1,583.91","1,600.27","1,600.27","236,619,800"
20-Dec-21,"1,605.29","1,605.29","1,580.43","1,593.56","1,593.56","271,697,100"
17-Dec-21,"1,615.40","1,616.77","1,597.84","1,603.75","1,603.75","468,491,000"
16-Dec-21,"1,605.86","1,623.15","1,603.46","1,614.64","1,614.64","283,356,600"
15-Dec-21,"1,571.51","1,606.22","1,571.51","1,605.36","1,605.36","285,585,900"
14-Dec-21,"1,577.06","1,581.04","1,565.27","1,572.25","1,572.25","234,631,200"
13-Dec-21,"1,564.71","1,584.66","1,564.71","1,579.84","1,579.84","223,924,300"
10-Dec-21,"1,554.69","1,568.48","1,554.69","1,565.37","1,565.37","184,496,500"
9-Dec-21,"1,555.60","1,565.07","1,553.92","1,559.61","1,559.61","193,007,500"
8-Dec-21,"1,546.39","1,557.49","1,541.85","1,555.80","1,555.80","181,935,900"
7-Dec-21,"1,527.78","1,548.54","1,527.78","1,544.33","1,544.33","209,403,600"
6-Dec-21,"1,515.79","1,531.57","1,515.79","1,525.25","1,525.25","249,063,000"
3-Dec-21,"1,516.06","1,529.48","1,504.53","1,517.43","1,517.43","215,033,500"
2-Dec-21,"1,506.52","1,520.16","1,500.28","1,513.59","1,513.59","240,779,600"
1-Dec-21,"1,509.15","1,537.18","1,507.44","1,507.59","1,507.59","272,305,700"
30-Nov-21,"1,537.15","1,538.24","1,507.63","1,510.45","1,510.45","387,616,200"
29-Nov-21,"1,537.44","1,550.30","1,537.44","1,540.15","1,540.15","304,610,900"
26-Nov-21,"1,545.69","1,555.60","1,530.89","1,534.35","1,534.35","236,023,300"
24-Nov-21,"1,541.44","1,543.88","1,534.16","1,541.25","1,541.25","155,238,000"
23-Nov-21,"1,537.06","1,543.52","1,529.54","1,541.86","1,541.86","186,649,800"
22-Nov-21,"1,547.15","1,554.83","1,539.16","1,540.50","1,540.50","188,498,500"
19-Nov-21,"1,560.38","1,567.69","1,547.26","1,547.73","1,547.73","224,405,800"
